"state","date","population","unemployed_population","unemployment_rate"
"AK",1976-01-01,160709,11483,7.1
"AK",1976-02-01,160551,11426,7.1
"AK",1976-03-01,160663,11313,7
"AK",1976-04-01,161579,11286,7
"AK",1976-05-01,162885,11395,7
"AK",1976-06-01,164431,11687,7.1
"AK",1976-07-01,165869,12181,7.3
"AK",1976-08-01,166869,12792,7.7
"AK",1976-09-01,167575,13417,8
"AK",1976-10-01,168115,13999,8.3
"AK",1976-11-01,168505,14517,8.6
"AK",1976-12-01,168889,14971,8.9
"AK",1977-01-01,169388,15393,9.1
"AK",1977-02-01,170079,15792,9.3
"AK",1977-03-01,170880,16180,9.5
"AK",1977-04-01,171665,16529,9.6
"AK",1977-05-01,172360,16818,9.8
"AK",1977-06-01,172946,17050,9.9
"AK",1977-07-01,173519,17177,9.9
"AK",1977-08-01,174231,17270,9.9
"AK",1977-09-01,175142,17439,10
"AK",1977-10-01,176159,17744,10.1
"AK",1977-11-01,177199,18198,10.3
"AK",1977-12-01,178167,18744,10.5
"AK",1978-01-01,179079,19278,10.8
"AK",1978-02-01,179917,19686,10.9
"AK",1978-03-01,180605,19894,11
"AK",1978-04-01,181138,19920,11
"AK",1978-05-01,181511,19813,10.9
"AK",1978-06-01,181745,19605,10.8
"AK",1978-07-01,182014,19408,10.7
"AK",1978-08-01,182389,19249,10.6
"AK",1978-09-01,182877,19062,10.4
"AK",1978-10-01,183517,18837,10.3
"AK",1978-11-01,184249,18542,10.1
"AK",1978-12-01,184841,18191,9.8
"AK",1979-01-01,185137,17791,9.6
"AK",1979-02-01,185091,17386,9.4
"AK",1979-03-01,184785,17004,9.2
"AK",1979-04-01,184372,16670,9
"AK",1979-05-01,184038,16442,8.9
"AK",1979-06-01,183919,16373,8.9
"AK",1979-07-01,184025,16440,8.9
"AK",1979-08-01,184301,16562,9
"AK",1979-09-01,184722,16665,9
"AK",1979-10-01,185183,16624,9
"AK",1979-11-01,185692,16475,8.9
"AK",1979-12-01,186317,16366,8.8
"AK",1980-01-01,187015,16422,8.8
"AK",1980-02-01,187792,16723,8.9
"AK",1980-03-01,188651,17272,9.2
"AK",1980-04-01,189454,17960,9.5
"AK",1980-05-01,190083,18591,9.8
"AK",1980-06-01,190518,19018,10
"AK",1980-07-01,190654,19137,10
"AK",1980-08-01,190603,18987,10
"AK",1980-09-01,190545,18698,9.8
"AK",1980-10-01,190636,18406,9.7
"AK",1980-11-01,190963,18119,9.5
"AK",1980-12-01,191577,17780,9.3
"AK",1981-01-01,192494,17459,9.1
"AK",1981-02-01,193619,17215,8.9
"AK",1981-03-01,194819,17104,8.8
"AK",1981-04-01,196081,17171,8.8
"AK",1981-05-01,197415,17442,8.8
"AK",1981-06-01,198885,17870,9
"AK",1981-07-01,200536,18413,9.2
"AK",1981-08-01,202315,18975,9.4
"AK",1981-09-01,204061,19444,9.5
"AK",1981-10-01,205703,19799,9.6
"AK",1981-11-01,207070,20075,9.7
"AK",1981-12-01,208148,20315,9.8
"AK",1982-01-01,209028,20505,9.8
"AK",1982-02-01,209931,20675,9.8
"AK",1982-03-01,211084,20847,9.9
"AK",1982-04-01,212591,21016,9.9
"AK",1982-05-01,214337,21167,9.9
"AK",1982-06-01,216111,21310,9.9
"AK",1982-07-01,217843,21485,9.9
"AK",1982-08-01,219468,21759,9.9
"AK",1982-09-01,220999,22197,10
"AK",1982-10-01,222466,22764,10.2
"AK",1982-11-01,223992,23367,10.4
"AK",1982-12-01,225581,23881,10.6
"AK",1983-01-01,227208,24196,10.6
"AK",1983-02-01,228826,24227,10.6
"AK",1983-03-01,230408,24010,10.4
"AK",1983-04-01,231962,23697,10.2
"AK",1983-05-01,233572,23431,10
"AK",1983-06-01,235242,23294,9.9
"AK",1983-07-01,236860,23306,9.8
"AK",1983-08-01,238264,23455,9.8
"AK",1983-09-01,239405,23703,9.9
"AK",1983-10-01,240386,24005,10
"AK",1983-11-01,241334,24317,10.1
"AK",1983-12-01,242331,24634,10.2
"AK",1984-01-01,243458,24901,10.2
"AK",1984-02-01,244782,25064,10.2
"AK",1984-03-01,246257,25098,10.2
"AK",1984-04-01,247708,25004,10.1
"AK",1984-05-01,248996,24868,10
"AK",1984-06-01,250063,24769,9.9
"AK",1984-07-01,250963,24700,9.8
"AK",1984-08-01,251789,24639,9.8
"AK",1984-09-01,252560,24566,9.7
"AK",1984-10-01,253281,24483,9.7
"AK",1984-11-01,254014,24412,9.6
"AK",1984-12-01,254776,24357,9.6
"AK",1985-01-01,255486,24361,9.5
"AK",1985-02-01,255980,24495,9.6
"AK",1985-03-01,256173,24736,9.7
"AK",1985-04-01,256239,25010,9.8
"AK",1985-05-01,256362,25232,9.8
"AK",1985-06-01,256640,25354,9.9
"AK",1985-07-01,257075,25413,9.9
"AK",1985-08-01,257694,25411,9.9
"AK",1985-09-01,258506,25391,9.8
"AK",1985-10-01,259405,25453,9.8
"AK",1985-11-01,260321,25706,9.9
"AK",1985-12-01,261310,26217,10
"AK",1986-01-01,262334,26966,10.3
"AK",1986-02-01,263341,27842,10.6
"AK",1986-03-01,264271,28706,10.9
"AK",1986-04-01,264976,29428,11.1
"AK",1986-05-01,265283,29898,11.3
"AK",1986-06-01,265184,30070,11.3
"AK",1986-07-01,264821,29978,11.3
"AK",1986-08-01,264318,29742,11.3
"AK",1986-09-01,263787,29469,11.2
"AK",1986-10-01,263300,29206,11.1
"AK",1986-11-01,262789,28958,11
"AK",1986-12-01,262194,28696,10.9
"AK",1987-01-01,261630,28429,10.9
"AK",1987-02-01,261104,28116,10.8
"AK",1987-03-01,260547,27735,10.6
"AK",1987-04-01,259923,27294,10.5
"AK",1987-05-01,259406,26831,10.3
"AK",1987-06-01,259150,26421,10.2
"AK",1987-07-01,259113,26091,10.1
"AK",1987-08-01,259238,25805,10
"AK",1987-09-01,259515,25515,9.8
"AK",1987-10-01,259941,25207,9.7
"AK",1987-11-01,260426,24858,9.5
"AK",1987-12-01,260811,24514,9.4
"AK",1988-01-01,260943,24189,9.3
"AK",1988-02-01,260924,23896,9.2
"AK",1988-03-01,260928,23681,9.1
"AK",1988-04-01,261013,23545,9
"AK",1988-05-01,261195,23424,9
"AK",1988-06-01,261493,23281,8.9
"AK",1988-07-01,262022,23125,8.8
"AK",1988-08-01,262769,22970,8.7
"AK",1988-09-01,263579,22787,8.6
"AK",1988-10-01,264235,22479,8.5
"AK",1988-11-01,264703,22000,8.3
"AK",1988-12-01,265043,21334,8
"AK",1989-01-01,265366,20527,7.7
"AK",1989-02-01,265773,19748,7.4
"AK",1989-03-01,266396,19096,7.2
"AK",1989-04-01,267371,18662,7
"AK",1989-05-01,268538,18510,6.9
"AK",1989-06-01,269705,18583,6.9
"AK",1989-07-01,270644,18766,6.9
"AK",1989-08-01,271228,18995,7
"AK",1989-09-01,271514,19230,7.1
"AK",1989-10-01,271687,19423,7.1
"AK",1989-11-01,271873,19555,7.2
"AK",1989-12-01,272106,19656,7.2
"AK",1990-01-01,272368,19729,7.2
"AK",1990-02-01,272594,19714,7.2
"AK",1990-03-01,272755,19637,7.2
"AK",1990-04-01,272788,19558,7.2
"AK",1990-05-01,272780,19510,7.2
"AK",1990-06-01,272783,19519,7.2
"AK",1990-07-01,272885,19596,7.2
"AK",1990-08-01,273140,19695,7.2
"AK",1990-09-01,273437,19784,7.2
"AK",1990-10-01,273647,19930,7.3
"AK",1990-11-01,273825,20156,7.4
"AK",1990-12-01,274120,20423,7.5
"AK",1991-01-01,274542,20767,7.6
"AK",1991-02-01,275057,21220,7.7
"AK",1991-03-01,275600,21707,7.9
"AK",1991-04-01,276178,22152,8
"AK",1991-05-01,276788,22541,8.1
"AK",1991-06-01,277338,22882,8.3
"AK",1991-07-01,277785,23191,8.3
"AK",1991-08-01,278232,23535,8.5
"AK",1991-09-01,278867,23976,8.6
"AK",1991-10-01,279758,24491,8.8
"AK",1991-11-01,280808,25019,8.9
"AK",1991-12-01,281878,25478,9
"AK",1992-01-01,282993,25815,9.1
"AK",1992-02-01,284143,26013,9.2
"AK",1992-03-01,285223,26091,9.1
"AK",1992-04-01,286235,26089,9.1
"AK",1992-05-01,287115,26014,9.1
"AK",1992-06-01,287807,25892,9
"AK",1992-07-01,288392,25758,8.9
"AK",1992-08-01,288860,25558,8.8
"AK",1992-09-01,289165,25239,8.7
"AK",1992-10-01,289444,24820,8.6
"AK",1992-11-01,289776,24351,8.4
"AK",1992-12-01,290171,23907,8.2
"AK",1993-01-01,290687,23538,8.1
"AK",1993-02-01,291366,23270,8
"AK",1993-03-01,292176,23123,7.9
"AK",1993-04-01,292968,23054,7.9
